title,Action,Adventure,Animation,Budget,Comedy,Crime,Domestic Distributor,Domestic Opening,Drama,Family,Fantasy,MPAA Rating,Original Release Gross Worldwide,Other_Genres,Romance,Running Time,Science fiction,Thriller,Year of Release
The Croods,,1.0,1.0,135000000,1.0,,Twentieth Century Fox,43639736,,1.0,1.0,PG,587204668,,,98.0,,,2013
The Hangover Part II,,,,80000000,1.0,,Warner Bros.,85946294,,,,R,586764305,,,102.0,,,2011
Iron Man,1.0,1.0,,140000000,,,Paramount Pictures,98618668,,,,PG-13,585366247,,,126.0,1.0,,2008
I Am Legend,1.0,1.0,,150000000,,,Warner Bros.,77211321,1.0,,,PG-13,585410052,,,101.0,1.0,1.0,2007
Ready Player One,1.0,1.0,,175000000,,,Warner Bros.,41764050,,,,PG-13,582890172,,,140.0,1.0,,2018
"Monsters, Inc.",,1.0,1.0,115000000,1.0,,Walt Disney Studios Motion Pictures,62577067,,1.0,1.0,G,528773250,,,92.0,,,2001
Fifty Shades of Grey,,,,40000000,,,Universal Pictures,85171450,1.0,,,R,569651467,,1.0,125.0,,1.0,2015
Kong: Skull Island,1.0,1.0,,185000000,,,Warner Bros.,61025472,,,1.0,PG-13,566652812,,,118.0,1.0,,2017
The Smurfs,,1.0,1.0,110000000,1.0,,Sony Pictures Entertainment (SPE),35611637,,1.0,1.0,PG,563749323,,,103.0,,,2011
King Kong,1.0,1.0,,207000000,,,Universal Pictures,50130145,1.0,,,PG-13,562363449,,1.0,187.0,,,2005
Cars 2,,1.0,1.0,200000000,1.0,,Walt Disney Studios Motion Pictures,66135507,,1.0,,G,559852396,1.0,,106.0,,,2011
Puss in Boots,,1.0,1.0,130000000,1.0,,DreamWorks,34077439,,1.0,1.0,PG,554987477,,,90.0,,,2011
Armageddon,1.0,1.0,,140000000,,,Walt Disney Studios Motion Pictures,36089972,,,,PG-13,553709788,,,151.0,1.0,1.0,1998
The Day After Tomorrow,1.0,1.0,,125000000,,,Twentieth Century Fox,68743584,,,,PG-13,552639571,,,124.0,1.0,1.0,2004
Ted,,,,50000000,1.0,,Universal Pictures,54415205,,,,R,549368315,,,106.0,,,2012
American Sniper,1.0,,,58800000,,,Warner Bros.,633456,1.0,,,R,547426372,1.0,,133.0,,,2014
Mission: Impossible II,1.0,1.0,,125000000,,,Paramount Pictures,57845297,,,,PG-13,546388108,,,123.0,,1.0,2000
X-Men: Apocalypse,1.0,1.0,,178000000,,,Twentieth Century Fox,65769562,,,,PG-13,543934105,,,144.0,1.0,,2016
Despicable Me,,1.0,1.0,69000000,1.0,1.0,Universal Pictures,56397125,,1.0,,PG,543113985,,,95.0,1.0,,2010
Cinderella,,,,95000000,,,Walt Disney Studios Motion Pictures,67877361,1.0,1.0,1.0,PG,542351353,1.0,1.0,105.0,,,2015
World War Z,1.0,1.0,,190000000,,,Paramount Pictures,66411834,,,,PG-13,540007876,1.0,,116.0,1.0,,2013
Brave,,1.0,1.0,185000000,1.0,,Walt Disney Studios Motion Pictures,66323594,,1.0,1.0,PG,538983207,,,93.0,,,2012
Star Wars: Episode V - The Empire Strikes Back,1.0,1.0,,18000000,,,Twentieth Century Fox,4910483,,,1.0,PG,209398025,,,124.0,1.0,,1980
The Simpsons Movie,,1.0,1.0,75000000,1.0,,Twentieth Century Fox,74036787,,,,PG-13,536414270,,,87.0,,,2007
The Revenant,1.0,1.0,,135000000,,,Twentieth Century Fox,474560,1.0,,,R,532950503,1.0,,156.0,,,2015
The Meg,1.0,,,130000000,,,Warner Bros.,45402195,,,,PG-13,530243742,1.0,,113.0,1.0,1.0,2018
Ralph Breaks the Internet,,1.0,1.0,175000000,1.0,,Walt Disney Studios Motion Pictures,56237634,,1.0,1.0,PG,529323962,,,112.0,1.0,,2018
